"","x"
"1","To sum this up: when we are unjustly wounded by men, let us overlook their wickedness (which would but worsen our pain and sharpen our minds to revenge), remember to mount up to God, and learn to believe for certain that whatever our enemy has wickedly committed against us was permitted and sent by God’s just dispensation. (Calvin – Institutes 1.17.8)"
"2","I’m sure I’ll go pretty much crazy from working on the achievements, but I’ve gotten quite a few under my belt so far, including my fishing turtle and my sewer rat:"
"3","I stood to my feet and followed the caseworker through double doors, down a corridor, into another corridor and into a 10x10 deluxe cubicle suite smothered in the usual gray, black and taupe cliché of office themed colors. I maneuvered my size 8 waist around the front of the caseworker's desk and casually slumped into a chair obviously meant for overweight people. The blue-marooned Beta fish residing in a tall sitting vase to my left actually stopped swimming for a sec to look my way. I meant to smile, but the fish gulped and continued on swimming. Suddenly I felt minute like a leftover morsel of undigested fish food because I was finding it hard to believe that this insignificant little thing actually had a home that wasn't facing Foreclosure. I shot the shit with the caseworker for a few minutes to reclaim my confidence until he got to the embarrassing-but forgotten-issue at hand: “Why are you here, Mrs. Davis?”"
"4","truth, there will be an almost overnight shift in the fear powered"
"5","Next stepped forward a lanky somewhat sad looking man with his hair tied in a knot behind his head. He introduced himself as Garrison Graybolt. Next came Konar Wuldcarva who shook Hermel’s hand somewhat awkwardly. A thin man with a narrow face and light brown hair introduced himself as Selig Courtsman. He had frosty blue eyes and wore a wry smile. There was another man with an austere expression, close cropped hair, and wore a tunic on which was emblazoned the symbol of the Elkron of the Sun, Eldrik. He gave a courteous bow of the head, and indicated he was interested in listening to the proposed adventure. This man was named Star of Justice, but he did not introduce himself. He simply stood and listened intently. Lastly, a redish metallic tinged grasshopper landed on Rothomon’s desk. Hermel looked over and thought to swat the insect before it leapt away. However, before he did so, Rothmon stayed his hand with a quick intercession of his hand on Hermel’s arm."
"6","Gabriel’s book helped me see a different aspect of life with the many stories in his book. His words inspired me to create a picture which may go on to inspire others in some way. This is how the Holy Spirit or the Life-force works with its power of love. Gabriel Ezutah loves to write and his words can be inspirational. I love to paint and maybe some will find inspiration in the pictures I create. This is an example of how love works to brighten the lives of those who come in contact with us and the work we love to do."
"7","Yes, that happens!"
"8","Sleep, and let them come..."
"9","And lo, the many-sexed one, the deity Endra, did appear to Innominus, conveying to the faithful priest a vision. Entranced, Innominus saw a horde of undead -- skeletons, ghouls, wights -- issuing forth out of the darkness in a stone chamber, which he knew to be in the deep basement of Baron Kaminster's country manor outside Fortinbras. The foul undead monsters, with hateful glowing eyes, surged forward in the vision, overwhelming the cleric with their sheer numbers."
"10","Largely concerned with the plight of Mexican’s trying to cross the border into the US, it covers entirely new territory for Bruce. California, Texas, Ohio, San Diego, Sinaloa, Galveston Bay. Highway patrolmen and Mexicans; border crossing, drug running, and fruit picking. The complexity of illegal immigration is explored from many different angles. The drive to escape still haunts the album, but this time around Bruce’s not so sure it’s where salvation lies – “The highway is alive tonight, but nobody’s kidding nobody about where it goes …”"
"11","Psychedelic Horseshit, Acid Tape"
"12","Embellishments: Wild Orchid Crafts flowers, metal corner and charm, ribbon from stash, tassels from Joanna Sheen"
"13","Luke decided to continue talking on what was beginning to feel like the longest elevator ride of my life. ""Sometimes I call her Gwandma."""
"14","The other, while not as adventurous , holds uncertainty as well."
"15","Step 1 – Pick your Country"
"16","The rest of the story you can read at V&V...."
"17","This is a Slow, Creeping Destruction that is gaining momentum. The Marxist Regime is"
"18","And it isn’t that churches aren’t doing this. I know they are. There is nothing new under the sun. It is just that it feels like something is missing…and I’m wondering how to go about restoring it. What might my role in this be?"
"19","Today’s TNT (This-N-That) post from Club Creative Studio is about technique in your creative process. I often find myself playing “the waiting game”. You know what this means to an individual on a daily basis. We wait in line, we wait for the mail to come, we wait in traffic, we wait for the dryer to signal the clothes are dry. We wait for the text response, we wait for something to download, we WAIT, WAIT, WAIT!"
"20","USHA MARTIN EDUCATION & SOLUTIONS LIMITED Press Release"
"21","Our purpose in life had been self serving- but God opened our eyes through an orphan. Suddenly climbing the corporate ladder, building a larger house, name brand clothing, savings accounts, striving for the newest, the biggest, the best- as we had been doing- seemed ridiculous, repulsive, and wrong. Especially now that we knew what was at stake- the life of one of God’s children."
"22","David Tirlson clutched his girlfriend Cassandra’s hand. ""You can't die!"" You're my life! What will I do without you?"""
"23","We should be training and arming the Cypriot army and militias of dispossessed as well as those of Coptic Orthodox and Lebanese Orthodox and Catholics for their military returns to Egypt and Lebanon. The Albanian Orthodox, the Makedonians, the Kosovo Serbs. Lets really release the dogs of war."
"24","Our Secret Wish For Life"
"25","b) After sitting for a while, this salsa might get extra juice, you may drain if desired."
"26","“Well, right now it requires me to work, unlike you, but it also gives me more time. Think about how much time it takes to raise a husband.”"
"27","Lisa Allen of the Sheriff's office says they believe the message originated in Mexico."
"28","4.blessing of the state (extended mix)"
"29","Without getting myself overly nonsense and too exaggerated, I need to end my review now. All I'm saying is this book was great. Much better than the last book, and definitely much exciting. It's a page-turner, you won't be able to put it down. This book surpassed the previous two books in the series, and I can't wait to read If I Die. The series is getting more exciting and engaging... It was definitely worth reading."
"30","I am hoping that having a bit more time between sales will give me more time to hook up more items and to also try new patterns too.."
"31","2-3 tortilla"
"32","“No!!!” Junsu struggled, try to release that person hold. “Let me go!!!!”"
"33","Founded in 2004 at the Toronto Traditional Mass Society, we now have a new name and a new mission. Una Voce Toronto will focus on educaiton of the Catholic laity in the Extraordinary Form of the Roman Rite and the promotion of the usus antiquior (ancient use) throughout the Archdiocese of Toronto and its suffragan dioceses. Support for priests desiring to celebrate or learn to celebrate the venerable Roman Rite is our greatest priority. While the long-term objective will always remain the development of a ""personal parish"" as was attempted with the forrmer Toronto Apostolate of the Priestly Fraternity of St. Peter, this fact will occur in God's own time and at the discretion of our Metropolitian, Archbishop Thomas Christopher Collins. Our job is to grow our membership, educate, promote, guide, train and serve the Church as Catholic laymen and laywoman towards this goal."
"34","What strikes me most is her independence. That may sound ridiculous of someone who needs changing and feeding, but it’s her spark that’s independent, her spirit."
"35","It's a dark red/brown beer, and very hoppy. I very much like hoppy beers, in fact a local brew, Palmetto Pale Ale, is one of my favorite session beers, if I can find it on tap."
"36","I was blown away by The Dark Knight, it took me completely off guard. I was not expecting as great of a film as it turned out to be. So The Dark Knight Rises has a difficult task of beating out that incredible sequel. The problem I have is that they aren’t giving me enough to get excited off of other than it is a sequel to The Dark Knight. The trailers didn’t impress me and the pictures released had the same effect. I am really worried by what is taking place here. Primarily because Catwoman is in this movie and I despise Catwoman. I hate her character. I find her annoying and bothersome. Also that shot in the trailer with the exploding football field was so stupid. That guy really didn’t feel the explosion. It just didn’t fit in this world Christopher Nolan has created because the scene played as a joke by having the man run for a touchdown and after succeeding notice the stadium was destroyed. I do however, love the look of Bane. Tom Hardy is a fine actor so I know he will perform with this role. There is no way he will be able to beat out Heath Ledger’s terrific take on The Joker but he will still be good. I am placing my trust in Nolan’s hands to pull this off. It won’t be as great as The Dark Knight but it will still be a good movie."
"37","He strangled her then. He choked the life out of her as his passion soared skyward, his eyes rolled back in their sockets."
